drug_claim_name	drug_name	concept_id	drug_claim_source
R-IFN-1a			TTD
chembl:CHEMBL81421	(+)-ALPHA-TOCOPHERYL SUCCINATE	chembl:CHEMBL81421	ChemblDrugs
chembl:CHEMBL472940	CHEMBL472940	chembl:CHEMBL472940	ChemblDrugs
Heterocycle-containing compound 3			TTD
135650989			GuideToPharmacology
ALPHA-TOCOPHEROL	VITAMIN E	chembl:CHEMBL47	NCI
chembl:CHEMBL319244	CAFFEIC ACID PHENETHYL ESTER	chembl:CHEMBL319244	ChemblDrugs
DROMETRIZOLE	DROMETRIZOLE	chembl:CHEMBL1564747	DTC
GLABRIDIN	GLABRIDIN	chembl:CHEMBL480477	DTC
Pyrazinylpyridine derivative 1			TTD
NALBUPHINE	NALBUPHINE	chembl:CHEMBL895	TEND
187051815			GuideToPharmacology
chembl:CHEMBL1742982	AFLIBERCEPT	chembl:CHEMBL1742982	ChemblDrugs
chembl:CHEMBL64130	NAPABUCASIN	chembl:CHEMBL64130	ChemblDrugs
CHEMBL10188	TALNETANT	chembl:CHEMBL10188	ChemblInteractions
chembl:CHEMBL94061	CHEMBL94061	chembl:CHEMBL94061	ChemblDrugs
DIMETHYLFORMAMIDE	DIMETHYLFORMAMIDE	chembl:CHEMBL268291	DTC
Imatinib and nilotinib derivative 1			TTD
GNF-PF-3107	CHEMBL602383	chembl:CHEMBL602383	DTC
chembl:CHEMBL1834675	SPHAEROPSIDIN A	chembl:CHEMBL1834675	ChemblDrugs
chembl:CHEMBL287837	CHEMBL287837	chembl:CHEMBL287837	ChemblDrugs
Trifluoperazine	TRIFLUOPERAZINE	chembl:CHEMBL422	TTD
(-)-CAMPHOR	(-)-CAMPHOR	chembl:CHEMBL2252949	DTC
chembl:CHEMBL592862	DIAZIRINE	chembl:CHEMBL592862	ChemblDrugs
CEP-32496	CEP-32496	chembl:CHEMBL2029988	JAX-CKB
Ethoxzolamide	ETHOXZOLAMIDE	chembl:CHEMBL18	TTD
NSC-117271	CHEMBL287689	chembl:CHEMBL287689	DTC
178102387			GuideToPharmacology
DB08527	CHEMBL360520	chembl:CHEMBL360520	DrugBank
chembl:CHEMBL1201303	PYRVINIUM	chembl:CHEMBL1201303	ChemblDrugs
PROCHLORPERAZINE	PROCHLORPERAZINE	chembl:CHEMBL728	NCI
Antibodie derivative 3			TTD
DB01488	N,N-DIMETHYLTRYPTAMINE	chembl:CHEMBL12420	DrugBank
NV-04			TTD
135651887	CHEMBL442494	chembl:CHEMBL442494	GuideToPharmacology
BEZ235	DACTOLISIB	chembl:CHEMBL1879463	TTD
HEXADECYLTRIMETHYLAMMONIUM CHLORIDE	HEXADECYLTRIMETHYLAMMONIUM CHLORIDE	chembl:CHEMBL1895807	DTC
chembl:CHEMBL26320	CHEMBL26320	chembl:CHEMBL26320	ChemblDrugs
JNJ-40346527	EDICOTINIB	chembl:CHEMBL3674570	TTD
SB-509			TdgClinicalTrial
CHEMBL3545165	AFACIFENACIN	chembl:CHEMBL3545165	ChemblInteractions
NXN-188			TTD
DB06945	CHEMBL1229868	chembl:CHEMBL1229868	DrugBank
PMID25666693-Compound-11			TTD
ABT-981			TTD
Stiripentol	STIRIPENTOL	chembl:CHEMBL1983350	TTD
385612168			GuideToPharmacology
Penciclovir	PENCICLOVIR	chembl:CHEMBL1540	TTD
chembl:CHEMBL1231667	CARBOXIN	chembl:CHEMBL1231667	ChemblDrugs
Pyrazolopyridine derivative 4			TTD
chembl:CHEMBL1201368	PERINDOPRILAT	chembl:CHEMBL1201368	ChemblDrugs
CHEMBL269732	TACROLIMUS	chembl:CHEMBL269732	ChemblInteractions
Brasofensine	BRASOFENSINE	chembl:CHEMBL2104184	TTD
DB13503	TYROTHRICIN	chembl:CHEMBL577736	DrugBank
TCMDC-125195	CHEMBL531709	chembl:CHEMBL531709	DTC
178102403			GuideToPharmacology
DB08139	CHEMBL458926	chembl:CHEMBL458926	DrugBank
chembl:CHEMBL53898	CHEMBL53898	chembl:CHEMBL53898	ChemblDrugs
DB04661			DrugBank
GMX1777	TEGLARINAD CHLORIDE	chembl:CHEMBL190412	TdgClinicalTrial
chembl:CHEMBL324942	CHEMBL324942	chembl:CHEMBL324942	ChemblDrugs
chembl:CHEMBL589071	CHEMBL589071	chembl:CHEMBL589071	ChemblDrugs
THAPSIGARGIN	THAPSIGARGIN	chembl:CHEMBL96926	TTD
chembl:CHEMBL494107	CHEMBL494107	chembl:CHEMBL494107	ChemblDrugs
178101541	FUROSEMIDE	chembl:CHEMBL35	GuideToPharmacology
chembl:CHEMBL1200500	BECLOMETHASONE DIPROPIONATE	chembl:CHEMBL1200500	ChemblDrugs
PMID29130358-Compound-Figure16(9a)			TTD
CHEMBL3545300	CP-459632	chembl:CHEMBL3545300	ChemblInteractions
178101253			GuideToPharmacology
PG102			TdgClinicalTrial
ARQ-171			TTD
DB06991	CHEMBL258202	chembl:CHEMBL258202	DrugBank
DRL-17822			TTD
chembl:CHEMBL1200782	DEXTROAMPHETAMINE ADIPATE	chembl:CHEMBL1200782	ChemblDrugs
chembl:CHEMBL455477	BILIVERDIN	chembl:CHEMBL455477	ChemblDrugs
chembl:CHEMBL1797159	CHEMBL1797159	chembl:CHEMBL1797159	ChemblDrugs
ondansetron	ONDANSETRON	chembl:CHEMBL46	PharmGKB
CI-921	ASULACRINE	chembl:CHEMBL48880	NCI
DB01736			DrugBank
MMV665817	CHEMBL590919	chembl:CHEMBL590919	DTC
chembl:CHEMBL310671	SACCHARIN	chembl:CHEMBL310671	ChemblDrugs
IRINOTECAN	IRINOTECAN	chembl:CHEMBL481	TdgClinicalTrial
DB08574			DrugBank
GPC3 targeting CAR-T cells			TTD
135652119			GuideToPharmacology
chembl:CHEMBL562317	CHEMBL562317	chembl:CHEMBL562317	ChemblDrugs
CHEMBL1082407	ENZALUTAMIDE	chembl:CHEMBL1082407	ChemblInteractions
ESTRAMUSTINE PHOSPHATE			NCI
LYCOPENE	LYCOPENE	chembl:CHEMBL501174	DTC
chembl:CHEMBL1236924	INT131	chembl:CHEMBL1236924	ChemblDrugs
135652277			GuideToPharmacology
CARBOPROST TROMETHAMINE			TEND
NALIDIXATE SODIUM	NALIDIXATE SODIUM	chembl:CHEMBL1255939	DTC
404859132			GuideToPharmacology
GNF-PF-308	CHEMBL600334	chembl:CHEMBL600334	DTC
SPC/ENZ2968			TdgClinicalTrial
178103928	CERLAPIRDINE	chembl:CHEMBL2103880	GuideToPharmacology
chembl:CHEMBL386306	SPANTIDE	chembl:CHEMBL386306	ChemblDrugs
PMID25991433-Compound-B2			TTD
Ferroportin mab			TTD
CY-1503			TTD
chembl:CHEMBL1062	HYDROXYPROGESTERONE	chembl:CHEMBL1062	ChemblDrugs
CHEMBL1628234	DOXEPIN HYDROCHLORIDE	chembl:CHEMBL1628234	ChemblInteractions
135650161			GuideToPharmacology
DB05381	HISTAMINE	chembl:CHEMBL90	DrugBank
CHLOROPROCAINE	CHLOROPROCAINE	chembl:CHEMBL1179047	TEND
PANTOPRAZOLE	PANTOPRAZOLE	chembl:CHEMBL1502	TEND
chembl:CHEMBL196779	CHEMBL196779	chembl:CHEMBL196779	ChemblDrugs
PMID25991433-Compound-A6			TTD
DESMETHYLENYLNOCARDAMINE	DESMETHYLENYLNOCARDAMINE	chembl:CHEMBL517615	DTC
chembl:CHEMBL150261	CHEMBL150261	chembl:CHEMBL150261	ChemblDrugs
NISOLDIPINE	NISOLDIPINE	chembl:CHEMBL1726	TdgClinicalTrial
chembl:CHEMBL1405447	VITAMIN K3H2	chembl:CHEMBL1405447	ChemblDrugs
135650361			GuideToPharmacology
178100712			GuideToPharmacology
GEMCITABINE	GEMCITABINE	chembl:CHEMBL888	TdgClinicalTrial
EPINEPHRINE BITARTRATE	EPINEPHRINE BITARTRATE	chembl:CHEMBL1256958	DTC
chembl:CHEMBL1213721	CHEMBL1213721	chembl:CHEMBL1213721	ChemblDrugs
CHEMBL1963683	TAFLUPROST	chembl:CHEMBL1963683	ChemblInteractions
NUTLIN-3	NUTLIN-3	chembl:CHEMBL191334	DTC
DB07597	CHEMBL46085	chembl:CHEMBL46085	DrugBank
chembl:CHEMBL346455	CHEMBL346455	chembl:CHEMBL346455	ChemblDrugs
DB06013	ALDOXORUBICIN	chembl:CHEMBL2107818	DrugBank
NSC-107022	CHEMBL1601846	chembl:CHEMBL1601846	DTC
ALAMIFOVIR	ALAMIFOVIR	chembl:CHEMBL106502	TTD
Enzastaurin	ENZASTAURIN	chembl:CHEMBL300138	JAX-CKB
348353641			GuideToPharmacology
PACRITINIB	PACRITINIB	chembl:CHEMBL2035187	CIViC
GNF-PF-4579	CHEMBL584626	chembl:CHEMBL584626	DTC
CP-114271			TTD
178103522			GuideToPharmacology
POLY I:POLY C			NCI
chembl:CHEMBL589670	CHEMBL589670	chembl:CHEMBL589670	ChemblDrugs
DB04288	CHEMBL150261	chembl:CHEMBL150261	DrugBank
CHEMBL3545326	TAS-119	chembl:CHEMBL3545326	ChemblInteractions
Tetra-hydro-imidazo[1,5-d][1,4]oxazepin-3-yl derivative 6			TTD
chembl:CHEMBL1998001	CHEMBL1998001	chembl:CHEMBL1998001	ChemblDrugs
DB00724	IMIQUIMOD	chembl:CHEMBL1282	DrugBank
178103909			GuideToPharmacology
APO-010			TTD
Pyrazole derivative 19			TTD
HYDROXYCHLOROQUINE	HYDROXYCHLOROQUINE	chembl:CHEMBL1535	NCI
valdecoxib	VALDECOXIB	chembl:CHEMBL865	PharmGKB
DB01892	HYPERFORIN	chembl:CHEMBL501711	DrugBank
DB08411			DrugBank
NSC348884			CIViC
178102589			GuideToPharmacology
PHENOBARBITAL	PHENOBARBITAL	chembl:CHEMBL40	NCI
GNF-PF-4945	CHEMBL585628	chembl:CHEMBL585628	DTC
NSC-122400	CHEMBL2059067	chembl:CHEMBL2059067	DTC
CHEMBL2108354	UBLITUXIMAB	chembl:CHEMBL2108354	ChemblInteractions
CHEMBL3544913	VIXOTRIGINE	chembl:CHEMBL3544913	ChemblInteractions
chembl:CHEMBL494283	CHEMBL494283	chembl:CHEMBL494283	ChemblDrugs
chembl:CHEMBL608393	CHEMBL608393	chembl:CHEMBL608393	ChemblDrugs
chembl:CHEMBL522887	CHEMBL522887	chembl:CHEMBL522887	ChemblDrugs
DB03890			DrugBank
DB06262	DROXIDOPA	chembl:CHEMBL2103827	DrugBank
MK-0354	CHEMBL456145	chembl:CHEMBL456145	TTD
NSC-292213	CHEMBL222808	chembl:CHEMBL222808	DTC
135650440			GuideToPharmacology
AZD8055	AZD-8055	chembl:CHEMBL1801204	MyCancerGenome
INDAZOLE-3-CARBOXYLICACID	CHEMBL502057	chembl:CHEMBL502057	DTC
chembl:CHEMBL17331	PD-169316	chembl:CHEMBL17331	ChemblDrugs
chembl:CHEMBL253996	CHEMBL253996	chembl:CHEMBL253996	ChemblDrugs
chembl:CHEMBL1201824	ALGLUCOSIDASE ALFA	chembl:CHEMBL1201824	ChemblDrugs
UNC1062			CIViC
chembl:CHEMBL1628502	GABAPENTIN ENACARBIL	chembl:CHEMBL1628502	ChemblDrugs
TCMDC-125733	CHEMBL530788	chembl:CHEMBL530788	DTC
GROWTH AGENTS			NCI
Pyrazole derivative 65			TTD
THIORIDAZINE	THIORIDAZINE	chembl:CHEMBL479	TdgClinicalTrial
Imatinib	IMATINIB	chembl:CHEMBL941	FDA
chembl:CHEMBL1185001	CHEMBL1185001	chembl:CHEMBL1185001	ChemblDrugs
chembl:CHEMBL588501	CHEMBL588501	chembl:CHEMBL588501	ChemblDrugs
223366103			GuideToPharmacology
178102599			GuideToPharmacology
DNDI1246786	CHEMBL1863271	chembl:CHEMBL1863271	DTC
chembl:CHEMBL186141	ANDROGRAPHOLIDE	chembl:CHEMBL186141	ChemblDrugs
PROBENECID	PROBENECID	chembl:CHEMBL897	DTC
381745024			GuideToPharmacology
Anti-CD123 CAR-T treatment			TTD
DONEPEZIL	DONEPEZIL	chembl:CHEMBL502	DTC
178103414	DICUMAROL	chembl:CHEMBL1466	GuideToPharmacology
K-828-AB			TTD
ALLOPURINOL	ALLOPURINOL	chembl:CHEMBL1467	TdgClinicalTrial
SEN-196			TTD
REBASTINIB	REBASTINIB	chembl:CHEMBL1738757	CIViC
374883860			GuideToPharmacology
DB00590	DOXAZOSIN	chembl:CHEMBL707	DrugBank
ORMD-0901			TdgClinicalTrial
DB05351	DEXLANSOPRAZOLE	chembl:CHEMBL1201863	DrugBank
SK-NBP601			TTD
ABARELIX	ABARELIX	chembl:CHEMBL1252	TdgClinicalTrial
THIOPENTAL	THIOPENTAL	chembl:CHEMBL441	TdgClinicalTrial
M2951			TTD
DB00852	PSEUDOEPHEDRINE	chembl:CHEMBL1590	DrugBank
chembl:CHEMBL1408927	AMARANTH	chembl:CHEMBL1408927	ChemblDrugs
AW-01208	CHEMBL560532	chembl:CHEMBL560532	DTC
DB04724	CHEMBL446435	chembl:CHEMBL446435	DrugBank
chembl:CHEMBL4297797	NNC0114-0006	chembl:CHEMBL4297797	ChemblDrugs
chembl:CHEMBL1200492	NEFAZODONE HYDROCHLORIDE	chembl:CHEMBL1200492	ChemblDrugs
chembl:CHEMBL463210	CHLORPYRIFOS	chembl:CHEMBL463210	ChemblDrugs
Carbamide derivative 16			TTD
Tropisetron	TROPISETRON	chembl:CHEMBL56564	TTD
Piperazine urea derivative 3			TTD
ELOCALCITOL	ELOCALCITOL	chembl:CHEMBL3545094	TdgClinicalTrial
OMEPRAZOLE	OMEPRAZOLE	chembl:CHEMBL1503	TdgClinicalTrial
chembl:CHEMBL1590432	GANGLEOIDIN ACETATE	chembl:CHEMBL1590432	ChemblDrugs
chembl:CHEMBL3969876	IMARIKIREN HYDROCHLORIDE	chembl:CHEMBL3969876	ChemblDrugs
PMID25666693-Compound-69			TTD
MSC2363318A	MSC-2363318A	chembl:CHEMBL3545003	TTD
PMID25399762-Compound-Table 7-Veratraldehyde			TTD
wikidata:Q7240593	PREOTACT	wikidata:Q7240593	Wikidata
chembl:CHEMBL602206	CHEMBL602206	chembl:CHEMBL602206	ChemblDrugs
chembl:CHEMBL2108956	HYPROMELLOSE	chembl:CHEMBL2108956	ChemblDrugs
CHEMBL3545223	GW493838	chembl:CHEMBL3545223	ChemblInteractions
chembl:CHEMBL485323	CHEMBL485323	chembl:CHEMBL485323	ChemblDrugs
AMG 900			TTD
chembl:CHEMBL278789	DERMORPHIN	chembl:CHEMBL278789	ChemblDrugs
chembl:CHEMBL3544977	ODALASVIR	chembl:CHEMBL3544977	ChemblDrugs
BAY 1436032			JAX-CKB
DELTA 9-TETRAHYDROCANNABINOL			NCI
Flavonoid derivative 4			TTD
135650565			GuideToPharmacology
135651205			GuideToPharmacology
DB01022	PHYTONADIONE	chembl:CHEMBL1550	DrugBank
DILTIAZEM	DILTIAZEM	chembl:CHEMBL23	TEND
PYRANTEL PAMOATE	PYRANTEL PAMOATE	chembl:CHEMBL1599768	DTC
DB09166	ETIZOLAM	chembl:CHEMBL1289779	DrugBank
PYRIMETHAMINE	PYRIMETHAMINE	chembl:CHEMBL36	DTC
chembl:CHEMBL1322824	ETHYLNOREPINEPHRINE HYDROCHLORIDE	chembl:CHEMBL1322824	ChemblDrugs
RVT-103+RVT-104			TTD
PMID30107136-Compound-Example2			TTD
178100902			GuideToPharmacology
13-DEOXYADRIAMYCIN HYDROCHLORIDE			TTD
CHEMBL1094408	NMS-1286937	chembl:CHEMBL1094408	ChemblInteractions
DB01426	AJMALINE	chembl:CHEMBL2105617	DrugBank
APG101	ASUNERCEPT	chembl:CHEMBL4297886	TdgClinicalTrial
Levomequitazine			TTD
ALPROSTADIL	ALPROSTADIL	chembl:CHEMBL495	DTC
CHEMBL1201066	VENLAFAXINE HYDROCHLORIDE	chembl:CHEMBL1201066	ChemblInteractions
CONATUMUMAB	CONATUMUMAB	chembl:CHEMBL1743003	MyCancerGenome
chembl:CHEMBL15778	CHEMBL15778	chembl:CHEMBL15778	ChemblDrugs
CHEMBL1079175	MK-2206	chembl:CHEMBL1079175	ChemblInteractions
252166496	CPP-115	chembl:CHEMBL146927	GuideToPharmacology
chembl:CHEMBL1909054	CARBOXYMETHYLCELLULOSE	chembl:CHEMBL1909054	ChemblDrugs
315661114	MOMETASONE	chembl:CHEMBL1201404	GuideToPharmacology
Tbo-Filgrastim	FILGRASTIM	chembl:CHEMBL1201567	TTD
CHEMBL3137318	TALAZOPARIB TOSYLATE	chembl:CHEMBL3137318	ChemblInteractions
PMID25399719-Compound-17			TTD
chembl:CHEMBL2106265	DIMETHYLTHIAMBUTENE	chembl:CHEMBL2106265	ChemblDrugs
GSK-270822A	GSK-270822A	chembl:CHEMBL441702	DTC
135650701			GuideToPharmacology
Pyrazolo[4,3-h]quinazoline-3-carboxamide derivative 1			TTD
Tetra-hydro-pyrazolopyrazine derivative 5			TTD
CHEMBL1237132	CLEVIDIPINE	chembl:CHEMBL1237132	ChemblInteractions
chembl:CHEMBL4297880	ALX-148	chembl:CHEMBL4297880	ChemblDrugs
DB01807	CHEMBL85860	chembl:CHEMBL85860	DrugBank
chembl:CHEMBL2108566	NERELIMOMAB	chembl:CHEMBL2108566	ChemblDrugs
TACEDINALINE	TACEDINALINE	chembl:CHEMBL235191	DTC
IBRUTINIB	IBRUTINIB	chembl:CHEMBL1873475	CIViC
chembl:CHEMBL2108742	SIPLIZUMAB	chembl:CHEMBL2108742	ChemblDrugs
ALTRENOGEST	ALTRENOGEST	chembl:CHEMBL1315492	DTC
135650739			GuideToPharmacology
Cefuroxime	CEFUROXIME	chembl:CHEMBL1436	TTD
Benzene sulfonamide derivative 7			TTD
Gentamicine sulfate			TTD
Amidopyrazole derivative 4			TTD
NVP-BEZ236			ClearityFoundationClinicalTrial
Amlexanox	AMLEXANOX	chembl:CHEMBL1096	JAX-CKB
chembl:CHEMBL3990003	BALTALEUCEL-T	chembl:CHEMBL3990003	ChemblDrugs
135651367	ZOTEPINE	chembl:CHEMBL285802	GuideToPharmacology
Pyridine derivative 5			TTD
Selegiline	SELEGILINE	chembl:CHEMBL972	TTD
381744990			GuideToPharmacology
DS-8201a	TRASTUZUMAB DERUXTECAN	chembl:CHEMBL4297844	JAX-CKB
chembl:CHEMBL1201770	METHYLNALTREXONE BROMIDE	chembl:CHEMBL1201770	ChemblDrugs
TRIPHENYLBISMUTHINE	TRIPHENYLBISMUTHINE	chembl:CHEMBL203014	DTC
135651798			GuideToPharmacology
4SCAR19/22 T cells			TTD
chembl:CHEMBL2096895	PRADEFOVIR	chembl:CHEMBL2096895	ChemblDrugs
PMID26560530-Compound-4			TTD
PENTOXIFYLLINE	PENTOXIFYLLINE	chembl:CHEMBL628	TEND
178100819			GuideToPharmacology
DB05740			DrugBank
(S)-ALAPROCLATE	(S)-ALAPROCLATE	chembl:CHEMBL251941	DTC
Dabigatran	DABIGATRAN	chembl:CHEMBL48361	TTD
TRILOSTANE	TRILOSTANE	chembl:CHEMBL1200907	DTC
chembl:CHEMBL70141	2-MERCAPTOBENZIMIDAZOLE	chembl:CHEMBL70141	ChemblDrugs
chembl:CHEMBL3545396	BMS-690514	chembl:CHEMBL3545396	ChemblDrugs
DB15565	CILAZAPRILAT	chembl:CHEMBL2104578	DrugBank
OPL-CCL2-LPM			TTD
PMID26666989-Compound-Figure9left02			TTD
Tocainide	TOCAINIDE	chembl:CHEMBL1762	TTD
chembl:CHEMBL611994	CHEMBL611994	chembl:CHEMBL611994	ChemblDrugs
178102821			GuideToPharmacology
LEVOTHYROXINE	LEVOTHYROXINE	chembl:CHEMBL1624	DTC
CHEMBL1200900			ChemblInteractions
DARBEPOETIN ALFA			TEND
Docetaxel	DOCETAXEL	chembl:CHEMBL92	TTD
APN-201			TTD
KU-55933	KU-55933	chembl:CHEMBL222102	JAX-CKB
GEMTUZUMAB OZOGAMICIN			CIViC
PMID27336223-Compound-15			TTD
CABOZANTINIB	CABOZANTINIB	chembl:CHEMBL2105717	TdgClinicalTrial
chembl:CHEMBL2105864	LABRADIMIL	chembl:CHEMBL2105864	ChemblDrugs
chembl:CHEMBL562314	CHEMBL562314	chembl:CHEMBL562314	ChemblDrugs
chembl:CHEMBL3707374	AMISELIMOD HYDROCHLORIDE	chembl:CHEMBL3707374	ChemblDrugs
chembl:CHEMBL252417	CHEMBL252417	chembl:CHEMBL252417	ChemblDrugs
TESTOSTERONE PROPIONATE	TESTOSTERONE PROPIONATE	chembl:CHEMBL1170	DTC
178101291			GuideToPharmacology
chembl:CHEMBL387152	CHEMBL387152	chembl:CHEMBL387152	ChemblDrugs
chembl:CHEMBL513494	DIHYDROXYBERGAMOTTIN	chembl:CHEMBL513494	ChemblDrugs
178102854			GuideToPharmacology
PASIREOTIDE	PASIREOTIDE	chembl:CHEMBL3039583	MyCancerGenomeClinicalTrial
CHRYSIN	CHRYSIN	chembl:CHEMBL117	DTC
chembl:CHEMBL1976040	ADAVOSERTIB	chembl:CHEMBL1976040	ChemblDrugs
chembl:CHEMBL467987	CHEMBL467987	chembl:CHEMBL467987	ChemblDrugs
chembl:CHEMBL358866	CHEMBL358866	chembl:CHEMBL358866	ChemblDrugs
chembl:CHEMBL238465	SOFINICLINE	chembl:CHEMBL238465	ChemblDrugs
TAK-285	TAK-285	chembl:CHEMBL1614725	TTD
DB09389	NORGESTREL	chembl:CHEMBL2107797	DrugBank
Floxuridine	FLOXURIDINE	chembl:CHEMBL917	TTD
chembl:CHEMBL343336	CHEMBL343336	chembl:CHEMBL343336	ChemblDrugs
374883861	MK-8353	chembl:CHEMBL3545001	GuideToPharmacology
chembl:CHEMBL1256919	HYDRASTINE	chembl:CHEMBL1256919	ChemblDrugs
CHEMBL3039540	ADUCANUMAB	chembl:CHEMBL3039540	ChemblInteractions
cerliponase alfa			PharmGKB
135651365			GuideToPharmacology
135652204			GuideToPharmacology
chembl:CHEMBL2103741	LEVOTHYROXINE SODIUM	chembl:CHEMBL2103741	ChemblDrugs
375973236			GuideToPharmacology
CHEMBL3707446	RIVIPANSEL	chembl:CHEMBL3707446	ChemblInteractions
wikidata:Q18326479	PERETINOIN	wikidata:Q18326479	Wikidata
oxazepam	OXAZEPAM	chembl:CHEMBL568	PharmGKB
249565873			GuideToPharmacology
ALN-PCS			TTD
chembl:CHEMBL20730	VESAMICOL	chembl:CHEMBL20730	ChemblDrugs
135650364			GuideToPharmacology
chembl:CHEMBL3545387	SAD448	chembl:CHEMBL3545387	ChemblDrugs
Axitinib	AXITINIB	chembl:CHEMBL1289926	TTD
ISIS-EIF4E			TTD
chembl:CHEMBL1951071	ARFORMOTEROL TARTRATE	chembl:CHEMBL1951071	ChemblDrugs
PMID27774822-Compound-Figure9Example15			TTD
Mupirocin	MUPIROCIN	chembl:CHEMBL719	TTD
252166680			GuideToPharmacology
PMID28394193-Compound-19			TTD
chembl:CHEMBL196814	CHEMBL196814	chembl:CHEMBL196814	ChemblDrugs
chembl:CHEMBL345237	PICLOZOTAN	chembl:CHEMBL345237	ChemblDrugs
FLUNARIZINE HYDROCHLORIDE	FLUNARIZINE HYDROCHLORIDE	chembl:CHEMBL552659	DTC
DB02045			DrugBank
DB04618			DrugBank
FLOPROPIONE	FLOPROPIONE	chembl:CHEMBL1605835	DTC
Daniquidone	DANIQUIDONE	chembl:CHEMBL114283	TTD
XEN901			TTD
chembl:CHEMBL1136	TELITHROMYCIN	chembl:CHEMBL1136	ChemblDrugs
chembl:CHEMBL31601	REMIKIREN	chembl:CHEMBL31601	ChemblDrugs
DB01184	DOMPERIDONE	chembl:CHEMBL219916	DrugBank
DB03697	CHEMBL331282	chembl:CHEMBL331282	DrugBank
249565806	SILMITASERTIB	chembl:CHEMBL1230165	GuideToPharmacology
135651843			GuideToPharmacology
chembl:CHEMBL253951	CHEMBL253951	chembl:CHEMBL253951	ChemblDrugs
BL-22	BL22	chembl:CHEMBL2109352	TTD
DB05524	PELITINIB	chembl:CHEMBL607707	DrugBank
ROEMERINE	ROEMERINE	chembl:CHEMBL36654	DTC
PMID26815044-Compound-31			TTD
chembl:CHEMBL73148	CHEMBL73148	chembl:CHEMBL73148	ChemblDrugs
chembl:CHEMBL1201081	METHYLPREDNISOLONE SODIUM SUCCINATE	chembl:CHEMBL1201081	ChemblDrugs
chembl:CHEMBL3306201	CHEMBL3306201	chembl:CHEMBL3306201	ChemblDrugs
DB12458	MUSCIMOL	chembl:CHEMBL273481	DrugBank
GC021109			TTD
US8791257, 4			TTD
PMID28092474-Compound-34c			TTD
chembl:CHEMBL102714	SB-216763	chembl:CHEMBL102714	ChemblDrugs
chembl:CHEMBL550495	METHYLENE BLUE	chembl:CHEMBL550495	ChemblDrugs
chembl:CHEMBL480627	CYCLOPIAZONIC ACID	chembl:CHEMBL480627	ChemblDrugs
chembl:CHEMBL517645	EPOXYCYTOCHALASIN H	chembl:CHEMBL517645	ChemblDrugs
SFLT-01			TTD
chembl:CHEMBL569746	CHEMBL569746	chembl:CHEMBL569746	ChemblDrugs
chembl:CHEMBL254316	RALTEGRAVIR	chembl:CHEMBL254316	ChemblDrugs
PMID27454349-Compound-94			TTD
chembl:CHEMBL1201585	TRASTUZUMAB	chembl:CHEMBL1201585	ChemblDrugs
GLPG-0492	GLPG0492	chembl:CHEMBL3545417	TTD
chembl:CHEMBL1258006	BRADANICLINE	chembl:CHEMBL1258006	ChemblDrugs
DB00403	CERULETIDE	chembl:CHEMBL1201355	DrugBank
Celastrol	CELASTROL	chembl:CHEMBL301982	TTD
178100466			GuideToPharmacology
315661145	PF-5190457	chembl:CHEMBL3287218	GuideToPharmacology
DEXBROMPHENIRAMINE	DEXBROMPHENIRAMINE	chembl:CHEMBL1201287	DTC
Bendamustine hydrochloride			TTD
chembl:CHEMBL375802	CHEMBL375802	chembl:CHEMBL375802	ChemblDrugs
PMID27828716-Compound-19			TTD
PANITUMUMAB	PANITUMUMAB	chembl:CHEMBL1201827	CIViC
chembl:CHEMBL393949	CHEMBL393949	chembl:CHEMBL393949	ChemblDrugs
MELPHALAN	MELPHALAN	chembl:CHEMBL852	NCI
DB02451	CHEMBL490225	chembl:CHEMBL490225	DrugBank
BORTEZOMIB	BORTEZOMIB	chembl:CHEMBL325041	ClearityFoundationClinicalTrial
223366023			GuideToPharmacology
DB08304			DrugBank
OZARELIX	OZARELIX	chembl:CHEMBL2108312	TdgClinicalTrial
DANAZOL	DANAZOL	chembl:CHEMBL1479	TEND
chembl:CHEMBL587714	3',4' DICHLOROBENZAMIL	chembl:CHEMBL587714	ChemblDrugs
Calaspargase pegol			TTD
PMID29334795-Compound-21			TTD
DB02205	CHALEPIN	chembl:CHEMBL1231470	DrugBank
CLONIDINE	CLONIDINE	chembl:CHEMBL134	NCI
chembl:CHEMBL378903	CHEMBL378903	chembl:CHEMBL378903	ChemblDrugs
252827478			GuideToPharmacology
chembl:CHEMBL1654	RISEDRONATE SODIUM	chembl:CHEMBL1654	ChemblDrugs
DB01200	BROMOCRIPTINE	chembl:CHEMBL493	DrugBank
EOSIN_Y	EOSIN_Y	chembl:CHEMBL1092023	DTC
escitalopram	ESCITALOPRAM	chembl:CHEMBL1508	PharmGKB
chembl:CHEMBL277465	DENBUFYLLINE	chembl:CHEMBL277465	ChemblDrugs
178100321			GuideToPharmacology
BRYOSTATIN-1			TdgClinicalTrial
chembl:CHEMBL1742998	CANTUZUMAB RAVTANSINE	chembl:CHEMBL1742998	ChemblDrugs
chembl:CHEMBL106772	CHEMBL106772	chembl:CHEMBL106772	ChemblDrugs
chembl:CHEMBL524930	CHEMBL524930	chembl:CHEMBL524930	ChemblDrugs
DNA METHYLTRANSFERASE INHIBITOR			NCI
249565860			GuideToPharmacology
chembl:CHEMBL199464	CHEMBL199464	chembl:CHEMBL199464	ChemblDrugs
PMID25522065-Compound-41			TTD
Anti-CD7 CAR-T cells			TTD
