entrez_gene_symbol	gene_long_name	category_sources	category
RARB	RETINOIC ACID RECEPTOR BETA	HopkinsGroom,BaderLabGenes,GO,dGene,GuideToPharmacology	NUCLEAR HORMONE RECEPTOR
MAP3K6	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 6	HopkinsGroom,Pharos,dGene	KINASE
MAP3K6	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 6	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
MAP3K6	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 6	dGene	SERINE THREONINE KINASE
MAP3K6	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 6	FoundationOneGenes	CLINICALLY ACTIONABLE
MAP3K6	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 6	GuideToPharmacology	ENZYME
E2F8	E2F TRANSCRIPTION FACTOR 8	GO	TRANSCRIPTION FACTOR BINDING
E2F8	E2F TRANSCRIPTION FACTOR 8	GO	TUMOR SUPPRESSOR
E2F8	E2F TRANSCRIPTION FACTOR 8	Pharos	TRANSCRIPTION FACTOR
EZH1	ENHANCER OF ZESTE 1 POLYCOMB REPRESSIVE COMPLEX 2 SUBUNIT	GuideToPharmacology	ENZYME
EZH1	ENHANCER OF ZESTE 1 POLYCOMB REPRESSIVE COMPLEX 2 SUBUNIT	BaderLabGenes	METHYL TRANSFERASE
PLCB1	PHOSPHOLIPASE C BETA 1	GuideToPharmacology,Pharos,HumanProteinAtlas	ENZYME
PLCB1	PHOSPHOLIPASE C BETA 1	RussLampel,HopkinsGroom	DRUGGABLE GENOME
PLCB1	PHOSPHOLIPASE C BETA 1	HopkinsGroom	PHOSPHOLIPASE
IL2RG	INTERLEUKIN 2 RECEPTOR SUBUNIT GAMMA	GO	CELL SURFACE
IL2RG	INTERLEUKIN 2 RECEPTOR SUBUNIT GAMMA	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
IL2RG	INTERLEUKIN 2 RECEPTOR SUBUNIT GAMMA	HingoraniCasas	DRUGGABLE GENOME
REG1B	REGENERATING FAMILY MEMBER 1 BETA	HingoraniCasas	DRUGGABLE GENOME
PLA2G16	PHOSPHOLIPASE A2 GROUP XVI	Pharos	ENZYME
AMPD1	ADENOSINE MONOPHOSPHATE DEAMINASE 1	HingoraniCasas,RussLampel,HopkinsGroom	DRUGGABLE GENOME
AMPD1	ADENOSINE MONOPHOSPHATE DEAMINASE 1	Pharos,HumanProteinAtlas	ENZYME
SEMG2	SEMENOGELIN II	HingoraniCasas	DRUGGABLE GENOME
MECP2	METHYL-CPG BINDING PROTEIN 2	GO	TRANSCRIPTION FACTOR BINDING
PUS10	PSEUDOURIDYLATE SYNTHASE 10	Pharos	ENZYME
GNAT3	G PROTEIN SUBUNIT ALPHA TRANSDUCIN 3	Pharos	G PROTEIN COUPLED RECEPTOR
GNAT3	G PROTEIN SUBUNIT ALPHA TRANSDUCIN 3	Pharos	TRANSPORTER
DHRS2	DEHYDROGENASE/REDUCTASE 2	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
DHRS2	DEHYDROGENASE/REDUCTASE 2	HopkinsGroom	SHORT CHAIN DEHYDROGENASE REDUCTASE
DHRS2	DEHYDROGENASE/REDUCTASE 2	Pharos	ENZYME
CXCR2	C-X-C MOTIF CHEMOKINE RECEPTOR 2	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
CXCR2	C-X-C MOTIF CHEMOKINE RECEPTOR 2	GuideToPharmacology,GO,dGene,HopkinsGroom	G PROTEIN COUPLED RECEPTOR
CXCR2	C-X-C MOTIF CHEMOKINE RECEPTOR 2	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
CXCR2	C-X-C MOTIF CHEMOKINE RECEPTOR 2	GO	CELL SURFACE
GYS2	GLYCOGEN SYNTHASE 2	Pharos,HumanProteinAtlas	ENZYME
APEX2	APURINIC/APYRIMIDINIC ENDODEOXYRIBONUCLEASE 2	RussLampel	DRUGGABLE GENOME
CASP1	CASPASE 1	Pharos,GuideToPharmacology	ENZYME
CASP1	CASPASE 1	dGene,HopkinsGroom	PROTEASE
CASP1	CASPASE 1	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
SLC15A2	SOLUTE CARRIER FAMILY 15 MEMBER 2	GuideToPharmacology,Pharos	TRANSPORTER
SLC15A2	SOLUTE CARRIER FAMILY 15 MEMBER 2	HingoraniCasas,RussLampel	DRUGGABLE GENOME
TNFRSF10D	TNF RECEPTOR SUPERFAMILY MEMBER 10D	GO	CELL SURFACE
TNFRSF10D	TNF RECEPTOR SUPERFAMILY MEMBER 10D	HingoraniCasas	DRUGGABLE GENOME
CYP21A2	CYTOCHROME P450 FAMILY 21 SUBFAMILY A MEMBER 2	HumanProteinAtlas,GuideToPharmacology,Pharos	ENZYME
CYP21A2	CYTOCHROME P450 FAMILY 21 SUBFAMILY A MEMBER 2	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
CYP21A2	CYTOCHROME P450 FAMILY 21 SUBFAMILY A MEMBER 2	HopkinsGroom	CYTOCHROME P450
WARS2	TRYPTOPHANYL TRNA SYNTHETASE 2, MITOCHONDRIAL	HopkinsGroom	DRUGGABLE GENOME
WARS2	TRYPTOPHANYL TRNA SYNTHETASE 2, MITOCHONDRIAL	HumanProteinAtlas	ENZYME
EPC2	ENHANCER OF POLYCOMB HOMOLOG 2	GO	DNA REPAIR
PPP1CC	PROTEIN PHOSPHATASE 1 CATALYTIC SUBUNIT GAMMA	GO	PROTEIN PHOSPHATASE
PPP1CC	PROTEIN PHOSPHATASE 1 CATALYTIC SUBUNIT GAMMA	Pharos	KINASE
KIRREL2	KIRRE LIKE NEPHRIN FAMILY ADHESION MOLECULE 2	HingoraniCasas	DRUGGABLE GENOME
OR2U1P	OLFACTORY RECEPTOR FAMILY 2 SUBFAMILY U MEMBER 1 PSEUDOGENE	dGene	G PROTEIN COUPLED RECEPTOR
ZNF93	ZINC FINGER PROTEIN 93	Pharos	TRANSCRIPTION FACTOR
PELP1	PROLINE, GLUTAMATE AND LEUCINE RICH PROTEIN 1	GO	TRANSCRIPTION FACTOR BINDING
PELP1	PROLINE, GLUTAMATE AND LEUCINE RICH PROTEIN 1	Pharos	NUCLEAR HORMONE RECEPTOR
PELP1	PROLINE, GLUTAMATE AND LEUCINE RICH PROTEIN 1	Pharos	TRANSCRIPTION FACTOR
CSNK2A2	CASEIN KINASE 2 ALPHA 2	Pharos,GuideToPharmacology	ENZYME
CSNK2A2	CASEIN KINASE 2 ALPHA 2	Pharos,HopkinsGroom,dGene	KINASE
CSNK2A2	CASEIN KINASE 2 ALPHA 2	Pharos	TRANSCRIPTION FACTOR
CSNK2A2	CASEIN KINASE 2 ALPHA 2	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
CSNK2A2	CASEIN KINASE 2 ALPHA 2	GO,dGene	SERINE THREONINE KINASE
CSNK2A2	CASEIN KINASE 2 ALPHA 2	GO	TUMOR SUPPRESSOR
GGT6	GAMMA-GLUTAMYLTRANSFERASE 6	Pharos	ENZYME
GGT6	GAMMA-GLUTAMYLTRANSFERASE 6	dGene	PROTEASE
GGT6	GAMMA-GLUTAMYLTRANSFERASE 6	HingoraniCasas	DRUGGABLE GENOME
TPSAB1	TRYPTASE ALPHA/BETA 1	HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
TPSAB1	TRYPTASE ALPHA/BETA 1	HopkinsGroom,dGene	PROTEASE
TPSAB1	TRYPTASE ALPHA/BETA 1	GuideToPharmacology	ENZYME
GABRR1	GAMMA-AMINOBUTYRIC ACID TYPE A RECEPTOR RHO1 SUBUNIT	Pharos,GuideToPharmacology,HopkinsGroom	ION CHANNEL
GABRR1	GAMMA-AMINOBUTYRIC ACID TYPE A RECEPTOR RHO1 SUBUNIT	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
FHL5	FOUR AND A HALF LIM DOMAINS 5	Pharos	TRANSCRIPTION FACTOR
FBLN7	FIBULIN 7	HingoraniCasas	DRUGGABLE GENOME
CRISP2	CYSTEINE RICH SECRETORY PROTEIN 2	HingoraniCasas	DRUGGABLE GENOME
CRISP2	CYSTEINE RICH SECRETORY PROTEIN 2	Pharos	ION CHANNEL
TRBV18	T CELL RECEPTOR BETA VARIABLE 18	Pharos	TRANSCRIPTION FACTOR
TRBV18	T CELL RECEPTOR BETA VARIABLE 18	Pharos	KINASE
MTMR7	MYOTUBULARIN RELATED PROTEIN 7	dGene	MYOTUBULARIN RELATED PROTEIN PHOSPHATASE
MTMR7	MYOTUBULARIN RELATED PROTEIN 7	HopkinsGroom	DRUGGABLE GENOME
MTMR7	MYOTUBULARIN RELATED PROTEIN 7	HopkinsGroom	PROTEIN PHOSPHATASE
PRDM11	PR/SET DOMAIN 11	GO	TUMOR SUPPRESSOR
PRDM11	PR/SET DOMAIN 11	BaderLabGenes	METHYL TRANSFERASE
ILF2	INTERLEUKIN ENHANCER BINDING FACTOR 2	Pharos	TRANSCRIPTION FACTOR
ILF2	INTERLEUKIN ENHANCER BINDING FACTOR 2	Pharos	KINASE
ACADL	ACYL-COA DEHYDROGENASE, LONG CHAIN	Pharos	ENZYME
PPFIA2	PTPRF INTERACTING PROTEIN ALPHA 2	GO	CELL SURFACE
PPFIA2	PTPRF INTERACTING PROTEIN ALPHA 2	Pharos	KINASE
NPBWR2	NEUROPEPTIDES B AND W RECEPTOR 2	IDG,HopkinsGroom,GuideToPharmacology,dGene,GO	G PROTEIN COUPLED RECEPTOR
NPBWR2	NEUROPEPTIDES B AND W RECEPTOR 2	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
SLC3A2	SOLUTE CARRIER FAMILY 3 MEMBER 2	GuideToPharmacology,Pharos	TRANSPORTER
SLC3A2	SOLUTE CARRIER FAMILY 3 MEMBER 2	HingoraniCasas,RussLampel	DRUGGABLE GENOME
SLC3A2	SOLUTE CARRIER FAMILY 3 MEMBER 2	GO	CELL SURFACE
SLC3A2	SOLUTE CARRIER FAMILY 3 MEMBER 2	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
CALHM3	CALCIUM HOMEOSTASIS MODULATOR 3	Pharos	ION CHANNEL
FASTKD3	FAST KINASE DOMAINS 3	Pharos	KINASE
SLC9A7	SOLUTE CARRIER FAMILY 9 MEMBER A7	HopkinsGroom,RussLampel	DRUGGABLE GENOME
SLC9A7	SOLUTE CARRIER FAMILY 9 MEMBER A7	HopkinsGroom	EXCHANGER
SLC9A7	SOLUTE CARRIER FAMILY 9 MEMBER A7	GuideToPharmacology	TRANSPORTER
SLC25A37	SOLUTE CARRIER FAMILY 25 MEMBER 37	GuideToPharmacology,Pharos	TRANSPORTER
SLC25A37	SOLUTE CARRIER FAMILY 25 MEMBER 37	RussLampel	DRUGGABLE GENOME
OR10D3	OLFACTORY RECEPTOR FAMILY 10 SUBFAMILY D MEMBER 3 (PUTATIVE)	RussLampel	DRUGGABLE GENOME
OR10D3	OLFACTORY RECEPTOR FAMILY 10 SUBFAMILY D MEMBER 3 (PUTATIVE)	dGene,GO,Pharos	G PROTEIN COUPLED RECEPTOR
INMT	INDOLETHYLAMINE N-METHYLTRANSFERASE	Pharos	ENZYME
HDGFL3	HDGF LIKE 3	GO	GROWTH FACTOR
GCDH	GLUTARYL-COA DEHYDROGENASE	Pharos,HumanProteinAtlas	ENZYME
MFSD14A	MAJOR FACILITATOR SUPERFAMILY DOMAIN CONTAINING 14A	RussLampel	DRUGGABLE GENOME
LBX1	LADYBIRD HOMEOBOX 1	Pharos	TRANSCRIPTION FACTOR
LBX1	LADYBIRD HOMEOBOX 1	GO	TRANSCRIPTION FACTOR COMPLEX
CSTB	CYSTATIN B	HumanProteinAtlas	TRANSPORTER
CSTB	CYSTATIN B	dGene	PROTEASE INHIBITOR
ASAP2	ARFGAP WITH SH3 DOMAIN, ANKYRIN REPEAT AND PH DOMAIN 2	Pharos	KINASE
FMO2	FLAVIN CONTAINING MONOOXYGENASE 2	HingoraniCasas	DRUGGABLE GENOME
FMO2	FLAVIN CONTAINING MONOOXYGENASE 2	GO	DRUG METABOLISM
FMO2	FLAVIN CONTAINING MONOOXYGENASE 2	Pharos	ENZYME
SFXN5	SIDEROFLEXIN 5	Pharos,GuideToPharmacology	TRANSPORTER
CREB3L2	CAMP RESPONSIVE ELEMENT BINDING PROTEIN 3 LIKE 2	Pharos	TRANSCRIPTION FACTOR
CREB3L2	CAMP RESPONSIVE ELEMENT BINDING PROTEIN 3 LIKE 2	FoundationOneGenes,CarisMolecularIntelligence	CLINICALLY ACTIONABLE
ATIC	5-AMINOIMIDAZOLE-4-CARBOXAMIDE RIBONUCLEOTIDE FORMYLTRANSFERASE/IMP CYCLOHYDROLASE	HingoraniCasas	DRUGGABLE GENOME
ATIC	5-AMINOIMIDAZOLE-4-CARBOXAMIDE RIBONUCLEOTIDE FORMYLTRANSFERASE/IMP CYCLOHYDROLASE	CarisMolecularIntelligence,Tempus,FoundationOneGenes	CLINICALLY ACTIONABLE
ATIC	5-AMINOIMIDAZOLE-4-CARBOXAMIDE RIBONUCLEOTIDE FORMYLTRANSFERASE/IMP CYCLOHYDROLASE	Pharos	ENZYME
DMBT1P1	DELETED IN MALIGNANT BRAIN TUMORS 1 PSEUDOGENE 1	RussLampel	DRUGGABLE GENOME
FOSL2	FOS LIKE 2, AP-1 TRANSCRIPTION FACTOR SUBUNIT	Pharos	TRANSCRIPTION FACTOR
DGKQ	DIACYLGLYCEROL KINASE THETA	Pharos	KINASE
CA8	CARBONIC ANHYDRASE 8	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
PLSCR3	PHOSPHOLIPID SCRAMBLASE 3	HingoraniCasas	DRUGGABLE GENOME
MMP11	MATRIX METALLOPEPTIDASE 11	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
MMP11	MATRIX METALLOPEPTIDASE 11	HopkinsGroom,dGene	PROTEASE
MMP11	MATRIX METALLOPEPTIDASE 11	Pharos,GuideToPharmacology	ENZYME
OTUD3	OTU DEUBIQUITINASE 3	Pharos	ENZYME
SERPINB3	SERPIN FAMILY B MEMBER 3	HopkinsGroom,dGene	PROTEASE INHIBITOR
SERPINB3	SERPIN FAMILY B MEMBER 3	HopkinsGroom,HingoraniCasas,RussLampel	DRUGGABLE GENOME
SERPINB3	SERPIN FAMILY B MEMBER 3	Pharos	KINASE
IL11RA	INTERLEUKIN 11 RECEPTOR SUBUNIT ALPHA	HingoraniCasas	DRUGGABLE GENOME
IL11RA	INTERLEUKIN 11 RECEPTOR SUBUNIT ALPHA	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
DECR1	2,4-DIENOYL-COA REDUCTASE 1	RussLampel	DRUGGABLE GENOME
DECR1	2,4-DIENOYL-COA REDUCTASE 1	Pharos,HumanProteinAtlas	ENZYME
EIF4EBP2	EUKARYOTIC TRANSLATION INITIATION FACTOR 4E BINDING PROTEIN 2	Pharos	KINASE
SPACA5B	SPERM ACROSOME ASSOCIATED 5B	HingoraniCasas	DRUGGABLE GENOME
HNMT	HISTAMINE N-METHYLTRANSFERASE	HumanProteinAtlas,Pharos	ENZYME
HNMT	HISTAMINE N-METHYLTRANSFERASE	HingoraniCasas	DRUGGABLE GENOME
BHLHE22	BASIC HELIX-LOOP-HELIX FAMILY MEMBER E22	Pharos	TRANSCRIPTION FACTOR
DLGAP2	DLG ASSOCIATED PROTEIN 2	Pharos	ION CHANNEL
NFATC1	NUCLEAR FACTOR OF ACTIVATED T-CELLS 1	Pharos	TRANSCRIPTION FACTOR
NFATC1	NUCLEAR FACTOR OF ACTIVATED T-CELLS 1	GO	TRANSCRIPTION FACTOR BINDING
NFATC1	NUCLEAR FACTOR OF ACTIVATED T-CELLS 1	GO	TRANSCRIPTION FACTOR COMPLEX
NFATC1	NUCLEAR FACTOR OF ACTIVATED T-CELLS 1	RussLampel	DRUGGABLE GENOME
GCSAM	GERMINAL CENTER ASSOCIATED SIGNALING AND MOTILITY	Pharos	KINASE
IMPG2	INTERPHOTORECEPTOR MATRIX PROTEOGLYCAN 2	HingoraniCasas	DRUGGABLE GENOME
HHATL	HEDGEHOG ACYLTRANSFERASE LIKE	RussLampel	DRUGGABLE GENOME
MSH3	MUTS HOMOLOG 3	GO	DNA REPAIR
MSH3	MUTS HOMOLOG 3	Tempus,FoundationOneGenes	CLINICALLY ACTIONABLE
PAPPA2	PAPPALYSIN 2	dGene	PROTEASE
PAPPA2	PAPPALYSIN 2	HingoraniCasas,RussLampel	DRUGGABLE GENOME
PAPPA2	PAPPALYSIN 2	GO	NEUTRAL ZINC METALLOPEPTIDASE
DKC1	DYSKERIN PSEUDOURIDINE SYNTHASE 1	Tempus	CLINICALLY ACTIONABLE
TECTA	TECTORIN ALPHA	HingoraniCasas	DRUGGABLE GENOME
ACY1	AMINOACYLASE 1	Pharos,HumanProteinAtlas	ENZYME
ACY1	AMINOACYLASE 1	RussLampel	DRUGGABLE GENOME
ACY1	AMINOACYLASE 1	dGene	PROTEASE
RBPJ	RECOMBINATION SIGNAL BINDING PROTEIN FOR IMMUNOGLOBULIN KAPPA J REGION	GO	TRANSCRIPTION FACTOR COMPLEX
RBPJ	RECOMBINATION SIGNAL BINDING PROTEIN FOR IMMUNOGLOBULIN KAPPA J REGION	GO	TRANSCRIPTION FACTOR BINDING
KLK3	KALLIKREIN RELATED PEPTIDASE 3	dGene,HopkinsGroom	PROTEASE
KLK3	KALLIKREIN RELATED PEPTIDASE 3	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
KLK3	KALLIKREIN RELATED PEPTIDASE 3	GuideToPharmacology	ENZYME
WFIKKN2	WAP, FOLLISTATIN/KAZAL, IMMUNOGLOBULIN, KUNITZ AND NETRIN DOMAIN CONTAINING 2	dGene	PROTEASE INHIBITOR
WFIKKN2	WAP, FOLLISTATIN/KAZAL, IMMUNOGLOBULIN, KUNITZ AND NETRIN DOMAIN CONTAINING 2	HingoraniCasas	DRUGGABLE GENOME
SLC27A5	SOLUTE CARRIER FAMILY 27 MEMBER 5	GuideToPharmacology	TRANSPORTER
S100B	S100 CALCIUM BINDING PROTEIN B	HingoraniCasas	DRUGGABLE GENOME
S100B	S100 CALCIUM BINDING PROTEIN B	Pharos	KINASE
OR7A15P	OLFACTORY RECEPTOR FAMILY 7 SUBFAMILY A MEMBER 15 PSEUDOGENE	RussLampel	DRUGGABLE GENOME
OR1E2	OLFACTORY RECEPTOR FAMILY 1 SUBFAMILY E MEMBER 2	GO,Pharos,dGene,HopkinsGroom	G PROTEIN COUPLED RECEPTOR
OR1E2	OLFACTORY RECEPTOR FAMILY 1 SUBFAMILY E MEMBER 2	RussLampel,HopkinsGroom	DRUGGABLE GENOME
CARD18	CASPASE RECRUITMENT DOMAIN FAMILY MEMBER 18	dGene	PROTEASE INHIBITOR
RELT	RELT, TNF RECEPTOR	HingoraniCasas	DRUGGABLE GENOME
UGT8	UDP GLYCOSYLTRANSFERASE 8	HingoraniCasas	DRUGGABLE GENOME
CD207	CD207 MOLECULE	HingoraniCasas	DRUGGABLE GENOME
TMEM184A	TRANSMEMBRANE PROTEIN 184A	GO	TRANSPORTER
KCNE4	POTASSIUM VOLTAGE-GATED CHANNEL SUBFAMILY E REGULATORY SUBUNIT 4	Pharos	ION CHANNEL
HDAC7	HISTONE DEACETYLASE 7	FoundationOneGenes	CLINICALLY ACTIONABLE
HDAC7	HISTONE DEACETYLASE 7	Pharos	TRANSCRIPTION FACTOR
HDAC7	HISTONE DEACETYLASE 7	HingoraniCasas	DRUGGABLE GENOME
HDAC7	HISTONE DEACETYLASE 7	GuideToPharmacology	ENZYME
NPFF	NEUROPEPTIDE FF-AMIDE PEPTIDE PRECURSOR	GO	DRUG RESISTANCE
NPFF	NEUROPEPTIDE FF-AMIDE PEPTIDE PRECURSOR	HingoraniCasas	DRUGGABLE GENOME
AVPR2	ARGININE VASOPRESSIN RECEPTOR 2	Pharos,dGene,GO,HopkinsGroom,GuideToPharmacology	G PROTEIN COUPLED RECEPTOR
AVPR2	ARGININE VASOPRESSIN RECEPTOR 2	RussLampel,HingoraniCasas,HopkinsGroom	DRUGGABLE GENOME
MYLK3	MYOSIN LIGHT CHAIN KINASE 3	GuideToPharmacology	ENZYME
MYLK3	MYOSIN LIGHT CHAIN KINASE 3	Pharos,HopkinsGroom,dGene	KINASE
MYLK3	MYOSIN LIGHT CHAIN KINASE 3	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
MYLK3	MYOSIN LIGHT CHAIN KINASE 3	dGene	SERINE THREONINE KINASE
MGAM2	MALTASE-GLUCOAMYLASE 2 (PUTATIVE)	HingoraniCasas,HingoraniCasas	DRUGGABLE GENOME
OXSR1	OXIDATIVE STRESS RESPONSIVE 1	Pharos,dGene,HopkinsGroom	KINASE
OXSR1	OXIDATIVE STRESS RESPONSIVE 1	GuideToPharmacology	ENZYME
OXSR1	OXIDATIVE STRESS RESPONSIVE 1	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
OXSR1	OXIDATIVE STRESS RESPONSIVE 1	dGene,GO	SERINE THREONINE KINASE
SLC16A11	SOLUTE CARRIER FAMILY 16 MEMBER 11	RussLampel	DRUGGABLE GENOME
SLC16A11	SOLUTE CARRIER FAMILY 16 MEMBER 11	GuideToPharmacology,HumanProteinAtlas,Pharos	TRANSPORTER
EPHA1	EPH RECEPTOR A1	HopkinsGroom,RussLampel,HingoraniCasas	DRUGGABLE GENOME
EPHA1	EPH RECEPTOR A1	HopkinsGroom,Pharos,dGene	KINASE
EPHA1	EPH RECEPTOR A1	dGene	TYROSINE KINASE
ENTPD2	ECTONUCLEOSIDE TRIPHOSPHATE DIPHOSPHOHYDROLASE 2	GuideToPharmacology,Pharos	ENZYME
SDHAF3	SUCCINATE DEHYDROGENASE COMPLEX ASSEMBLY FACTOR 3	Pharos	ENZYME
SLC9C2	SOLUTE CARRIER FAMILY 9 MEMBER C2 (PUTATIVE)	HopkinsGroom	DRUGGABLE GENOME
SLC9C2	SOLUTE CARRIER FAMILY 9 MEMBER C2 (PUTATIVE)	HopkinsGroom	EXCHANGER
SLC9C2	SOLUTE CARRIER FAMILY 9 MEMBER C2 (PUTATIVE)	HopkinsGroom	ION CHANNEL
SLC9C2	SOLUTE CARRIER FAMILY 9 MEMBER C2 (PUTATIVE)	GuideToPharmacology	TRANSPORTER
IL13RA1	INTERLEUKIN 13 RECEPTOR SUBUNIT ALPHA 1	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
IL13RA1	INTERLEUKIN 13 RECEPTOR SUBUNIT ALPHA 1	Pharos	KINASE
IL13RA1	INTERLEUKIN 13 RECEPTOR SUBUNIT ALPHA 1	HingoraniCasas	DRUGGABLE GENOME
ILVBL	ILVB ACETOLACTATE SYNTHASE LIKE	Pharos	ENZYME
SMYD2	SET AND MYND DOMAIN CONTAINING 2	BaderLabGenes	METHYL TRANSFERASE
SMYD2	SET AND MYND DOMAIN CONTAINING 2	GuideToPharmacology	ENZYME
COX7B	CYTOCHROME C OXIDASE SUBUNIT 7B	HopkinsGroom	KINASE
COX7B	CYTOCHROME C OXIDASE SUBUNIT 7B	HopkinsGroom	DRUGGABLE GENOME
FUCA2	ALPHA-L-FUCOSIDASE 2	RussLampel,HopkinsGroom,HingoraniCasas	DRUGGABLE GENOME
FUCA2	ALPHA-L-FUCOSIDASE 2	Pharos	ENZYME
ADAR	ADENOSINE DEAMINASE, RNA SPECIFIC	Pharos,HumanProteinAtlas	ENZYME
RNF19A	RING FINGER PROTEIN 19A, RBR E3 UBIQUITIN PROTEIN LIGASE	Pharos	ENZYME
RNF19A	RING FINGER PROTEIN 19A, RBR E3 UBIQUITIN PROTEIN LIGASE	GO	TRANSCRIPTION FACTOR BINDING
KDM2B	LYSINE DEMETHYLASE 2B	GuideToPharmacology	ENZYME
KDM2B	LYSINE DEMETHYLASE 2B	FoundationOneGenes	CLINICALLY ACTIONABLE
GGTLC2	GAMMA-GLUTAMYLTRANSFERASE LIGHT CHAIN 2	HingoraniCasas	DRUGGABLE GENOME
GGTLC2	GAMMA-GLUTAMYLTRANSFERASE LIGHT CHAIN 2	dGene	PROTEASE
GGTLC2	GAMMA-GLUTAMYLTRANSFERASE LIGHT CHAIN 2	Pharos	ENZYME
GZMM	GRANZYME M	RussLampel,HingoraniCasas,HopkinsGroom	DRUGGABLE GENOME
GZMM	GRANZYME M	dGene,HopkinsGroom	PROTEASE
DXO	DECAPPING EXORIBONUCLEASE	Pharos	ENZYME
PSMC5	PROTEASOME 26S SUBUNIT, ATPASE 5	dGene	PROTEASE
PSMC5	PROTEASOME 26S SUBUNIT, ATPASE 5	GO	TRANSCRIPTION FACTOR BINDING
SLC24A4	SOLUTE CARRIER FAMILY 24 MEMBER 4	HumanProteinAtlas,GuideToPharmacology	TRANSPORTER
TUBB1	TUBULIN BETA 1 CLASS VI	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
IGLV3-16	IMMUNOGLOBULIN LAMBDA VARIABLE 3-16	HingoraniCasas	DRUGGABLE GENOME
IGHV3-64D	IMMUNOGLOBULIN HEAVY VARIABLE 3-64D	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
GP1BB	GLYCOPROTEIN IB PLATELET BETA SUBUNIT	HingoraniCasas	DRUGGABLE GENOME
FOXP2	FORKHEAD BOX P2	Pharos	TRANSCRIPTION FACTOR
NFYA	NUCLEAR TRANSCRIPTION FACTOR Y SUBUNIT ALPHA	Pharos	TRANSCRIPTION FACTOR
USP9X	UBIQUITIN SPECIFIC PEPTIDASE 9, X-LINKED	HumanProteinAtlas,Pharos	ENZYME
USP9X	UBIQUITIN SPECIFIC PEPTIDASE 9, X-LINKED	dGene	PROTEASE
EIF4A1	EUKARYOTIC TRANSLATION INITIATION FACTOR 4A1	HingoraniCasas	DRUGGABLE GENOME
TEX15	TESTIS EXPRESSED 15, MEIOSIS AND SYNAPSIS ASSOCIATED	GO	DNA REPAIR
TAAR1	TRACE AMINE ASSOCIATED RECEPTOR 1	dGene,HopkinsGroom,GuideToPharmacology,GO	G PROTEIN COUPLED RECEPTOR
TAAR1	TRACE AMINE ASSOCIATED RECEPTOR 1	HingoraniCasas,HopkinsGroom,RussLampel	DRUGGABLE GENOME
WDR12	WD REPEAT DOMAIN 12	GO	TUMOR SUPPRESSOR
CRISP1	CYSTEINE RICH SECRETORY PROTEIN 1	HingoraniCasas	DRUGGABLE GENOME
PDCD4	PROGRAMMED CELL DEATH 4	Pharos	KINASE
PDCD4	PROGRAMMED CELL DEATH 4	HingoraniCasas	DRUGGABLE GENOME
MUTYH	MUTY DNA GLYCOSYLASE	Pharos,HumanProteinAtlas	ENZYME
MUTYH	MUTY DNA GLYCOSYLASE	GO	DNA REPAIR
MUTYH	MUTY DNA GLYCOSYLASE	CarisMolecularIntelligence,FoundationOneGenes,MskImpact,Tempus	CLINICALLY ACTIONABLE
PHYHD1	PHYTANOYL-COA DIOXYGENASE DOMAIN CONTAINING 1	Pharos	ENZYME
MMGT1	MEMBRANE MAGNESIUM TRANSPORTER 1	Pharos	TRANSPORTER
SLC18A3	SOLUTE CARRIER FAMILY 18 MEMBER A3	GuideToPharmacology,Pharos,HumanProteinAtlas	TRANSPORTER
SLC18A3	SOLUTE CARRIER FAMILY 18 MEMBER A3	HingoraniCasas,RussLampel	DRUGGABLE GENOME
HAX1	HCLS1 ASSOCIATED PROTEIN X-1	GO	TRANSCRIPTION FACTOR COMPLEX
HAX1	HCLS1 ASSOCIATED PROTEIN X-1	Pharos	KINASE
